iter	Passed	Remaining
729	8204	3034
730	8220	3025
731	8235	3015
732	8246	30733733	8259	29734734	8271	29735735	8284	29736736	8298	2961
737	8311	2950
738	8324	2939
739	8336	2929
740	8350	2918
741	8363	2908
742	8377	2897
743	8393	2888
744	8407	2877
745	8421	2867
746	8435	2857
747	8447	2846
748	8462	2835
749	8476	2825
750	8489	2814
751	8503	2804
752	8517	2793
753	8531	2783
754	8544	2772
755	8554	27756756	8565	27757757	8576	27758758	8589	27759759	8602	27760760	8613	27761761	8626	2694
762	8640	2683
763	8651	2672
764	8664	2661
765	8675	2650
766	8686	26767767	8697	26768768	8708	26769769	8719	26770770	8731	2593
771	8743	2582
772	8760	2572
773	8772	2561
774	8785	2550
775	8797	2539
776	8808	2527
777	8821	2517
778	8840	2508
779	8855	2497
780	8867	2486
781	8879	2475
782	8892	2464
783	8905	2453
784	8918	2442
785	8931	2431
786	8944	2420
787	8956	2409
788	8968	2398
789	8979	2386
790	8990	2375
791	9002	2364
792	9013	2352
793	9027	2342
794	9040	2331
795	9053	2320
796	9064	2308
797	9074	2297
798	9086	2285
799	9098	2274
800	9111	2263
801	9122	2252
802	9133	2240
803	9140	22804804	9151	2216
805	9161	2205
806	9171	2193
807	9181	2181
808	9191	2169
809	9202	2158
810	9212	2146
811	9222	2135
812	9232	2123
813	9241	21814814	9251	20815815	9261	20816816	9272	20817817	9282	20818818	9293	2053
819	9301	2041
820	9311	2030
821	9319	20822822	9330	2006
823	9339	19824824	9348	19825825	9357	19826826	9366	19827827	9376	1947
828	9386	1936
829	9395	1924
830	9404	1912
831	9414	1900
832	9422	1889
833	9431	1877
834	9440	1865
835	9450	1853
836	9459	18837837	9468	1830
838	9477	1818
839	9487	1807
840	9497	1795
841	9507	1784
842	9516	1772
843	9526	1760
844	9537	1749
845	9547	1737
846	9558	17847847	9568	17848848	9578	17849849	9588	16850850	9597	16851851	9607	16852852	9619	16853853	9628	16854854	9639	16855855	9650	16856856	9660	16857857	9673	16858858	9684	15859859	9695	15860860	9705	15861861	9717	1555
862	9727	1544
863	9739	1533
864	9750	1521
865	9758	1510
866	9768	1498
867	9777	1486
868	9787	1475
869	9797	1463
870	9807	1452
871	9817	1441
872	9827	1429
873	9837	1418
874	9847	1406
875	9857	1395
876	9865	1383
877	9874	1372
878	9884	1360
879	9894	1349
880	9904	1337
881	9913	1326
882	9923	1314
883	9934	1303
884	9944	1292
885	9954	1280
886	9965	1269
887	9974	1258
888	9982	1246
889	9991	1234
890	10002	1223
891	10014	1212
892	10023	1201
893	10033	1189
894	10042	1178
895	10053	1166
896	10062	1155
897	10071	1143
898	10081	1132
899	10092	1121
900	10103	1110
901	10111	1098
902	10120	1087
903	10129	1075
904	10138	1064
905	10148	1052
906	10157	1041
907	10167	1030
908	10178	1018
909	10191	1007
910	10203	996
911	10216	985
912	10228	974
913	10239	963
914	10251	952
915	10261	941
916	10273	929
917	10285	918
918	10295	907
919	10308	896
920	10319	885
921	10329	873
922	10340	862
923	10352	851
924	10364	840
925	10373	828
926	10385	817
927	10397	806
928	10408	795
929	10420	784
930	10431	773
931	10443	761
932	10453	750
933	10465	739
934	10479	728
935	10490	717
936	10502	706
937	10514	694
938	10527	683
939	10540	672
940	10551	661
941	10564	650
942	10579	639
943	10594	628
944	10613	617
945	10626	606
946	10639	595
947	10651	584
948	10662	573
949	10674	561
950	10687	550
951	10697	539
952	10709	528
953	10721	516
954	10732	505
955	10742	494
956	10755	483
957	10767	472
958	10778	460
959	10790	449
960	10802	438
961	10812	427
962	10823	415
963	10835	404
964	10848	393
965	10859	382
966	10871	370
967	10881	359
968	10894	348
969	10912	337
970	10923	326
971	10935	315
972	10947	303
973	10960	292
974	10972	281
975	10984	270
976	10996	258
977	11008	247
978	11020	236
979	11031	225
980	11040	213
981	11051	202
982	11060	191
983	11071	180
984	11081	168
985	11091	157
