iter	Passed	Remaining
809	4321	1013
810	4325	1008
811	4330	1002
812	4334	996
813	4338	991
814	4341	985
815	4345	979
816	4349	974
817	4353	968
818	4357	963
819	4362	957
820	4365	951
821	4369	946
822	4373	940
823	4377	935
824	4382	929
825	4386	924
826	4391	918
827	4395	913
828	4400	907
829	4404	902
830	4408	896
831	4413	891
832	4418	885
833	4422	880
834	4425	874
835	4429	869
836	4434	863
837	4438	858
838	4443	852
839	4447	847
840	4451	841
841	4455	836
842	4459	830
843	4463	825
844	4467	819
845	4472	814
846	4476	808
847	4480	803
848	4484	797
849	4489	792
850	4493	786
851	4497	781
852	4501	775
853	4505	770
854	4510	764
855	4514	759
856	4519	754
857	4523	748
858	4528	743
859	4532	737
860	4537	732
861	4541	727
862	4546	721
863	4551	716
864	4555	711
865	4560	705
866	4565	700
867	4570	695
868	4575	689
869	4580	684
870	4585	679
871	4590	673
872	4595	668
873	4601	663
874	4608	658
875	4614	653
876	4620	648
877	4626	642
878	4633	637
879	4638	632
880	4645	627
881	4651	622
882	4656	617
883	4662	611
884	4668	606
885	4674	601
886	4680	596
887	4685	590
888	4691	585
889	4697	580
890	4703	575
891	4709	570
892	4715	564
893	4721	559
894	4726	554
895	4732	549
896	4738	544
897	4744	538
898	4750	533
899	4756	528
900	4762	523
901	4768	518
902	4774	512
903	4781	507
904	4787	502
905	4793	497
906	4798	492
907	4804	486
908	4809	481
909	4814	476
910	4821	471
911	4827	465
912	4832	460
913	4838	455
914	4844	449
915	4850	444
916	4856	439
917	4861	434
918	4867	428
919	4872	423
920	4879	418
921	4885	413
922	4891	408
923	4897	402
924	4902	397
925	4907	392
926	4912	386
927	4917	381
928	4922	376
929	4927	370
930	4932	365
931	4937	360
932	4942	354
933	4947	349
934	4952	344
935	4957	338
936	4962	333
937	4966	328
938	4971	322
939	4976	317
940	4980	312
941	4985	306
942	4989	301
943	4994	296
944	4998	290
945	5003	285
946	5008	280
947	5012	274
948	5017	269
949	5021	264
950	5025	258
951	5029	253
952	5033	248
953	5037	242
954	5042	237
955	5046	232
956	5050	226
957	5054	221
958	5058	216
959	5063	210
960	5067	205
961	5071	200
962	5076	195
963	5080	189
964	5085	184
965	5089	179
966	5094	173
967	5098	168
968	5102	163
969	5107	157
970	5111	152
971	5115	147
972	5119	142
973	5124	136
974	5129	131
975	5133	126
976	5138	120
977	5142	115
978	5146	110
979	5150	105
980	5154	99
981	5159	94
982	5163	89
983	5167	84
984	5170	78
